Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Date
555.00 ,17.00 ,28.00 ,510.00 ,0.00 ,0.00 ,0.00 ,3.06 ,5.05 ,60.71 ,6.00 ,1/22/2020
654.00 ,18.00 ,30.00 ,606.00 ,99.00 ,1.00 ,2.00 ,2.75 ,4.59 ,60.00 ,8.00 ,1/23/2020
941.00 ,26.00 ,36.00 ,879.00 ,287.00 ,8.00 ,6.00 ,2.76 ,3.83 ,72.22 ,9.00 ,1/24/2020
1434.00 ,42.00 ,39.00 ,1353.00 ,493.00 ,16.00 ,3.00 ,2.93 ,2.72 ,107.69 ,11.00 ,1/25/2020
2118.00 ,56.00 ,52.00 ,2010.00 ,684.00 ,14.00 ,13.00 ,2.64 ,2.46 ,107.69 ,13.00 ,1/26/2020
2927.00 ,82.00 ,61.00 ,2784.00 ,809.00 ,26.00 ,9.00 ,2.80 ,2.08 ,134.43 ,16.00 ,1/27/2020
5578.00 ,131.00 ,107.00 ,5340.00 ,2651.00 ,49.00 ,46.00 ,2.35 ,1.92 ,122.43 ,16.00 ,1/28/2020
6166.00 ,133.00 ,125.00 ,5908.00 ,588.00 ,2.00 ,18.00 ,2.16 ,2.03 ,106.40 ,18.00 ,1/29/2020
8234.00 ,171.00 ,141.00 ,7922.00 ,2068.00 ,38.00 ,16.00 ,2.08 ,1.71 ,121.28 ,20.00 ,1/30/2020
9927.00 ,213.00 ,219.00 ,9495.00 ,1693.00 ,42.00 ,78.00 ,2.15 ,2.21 ,97.26 ,24.00 ,1/31/2020
12038.00 ,259.00 ,281.00 ,11498.00 ,2111.00 ,46.00 ,62.00 ,2.15 ,2.33 ,92.17 ,25.00 ,2/1/2020
16787.00 ,362.00 ,459.00 ,15966.00 ,4749.00 ,103.00 ,178.00 ,2.16 ,2.73 ,78.87 ,25.00 ,2/2/2020
19887.00 ,426.00 ,604.00 ,18857.00 ,3100.00 ,64.00 ,145.00 ,2.14 ,3.04 ,70.53 ,25.00 ,2/3/2020
23898.00 ,492.00 ,821.00 ,22585.00 ,4011.00 ,66.00 ,217.00 ,2.06 ,3.44 ,59.93 ,26.00 ,2/4/2020
27643.00 ,564.00 ,1071.00 ,26008.00 ,3745.00 ,72.00 ,250.00 ,2.04 ,3.87 ,52.66 ,26.00 ,2/5/2020
30802.00 ,634.00 ,1418.00 ,28750.00 ,3159.00 ,70.00 ,347.00 ,2.06 ,4.60 ,44.71 ,26.00 ,2/6/2020
34334.00 ,719.00 ,1903.00 ,31712.00 ,3532.00 ,85.00 ,485.00 ,2.09 ,5.54 ,37.78 ,26.00 ,2/7/2020
37068.00 ,806.00 ,2470.00 ,33792.00 ,2734.00 ,87.00 ,567.00 ,2.17 ,6.66 ,32.63 ,26.00 ,2/8/2020
40095.00 ,906.00 ,3057.00 ,36132.00 ,3027.00 ,100.00 ,587.00 ,2.26 ,7.62 ,29.64 ,26.00 ,2/9/2020
42633.00 ,1013.00 ,3714.00 ,37906.00 ,2538.00 ,107.00 ,657.00 ,2.38 ,8.71 ,27.28 ,26.00 ,2/10/2020
44675.00 ,1113.00 ,4417.00 ,39145.00 ,2042.00 ,100.00 ,703.00 ,2.49 ,9.89 ,25.20 ,26.00 ,2/11/2020
46561.00 ,1118.00 ,4849.00 ,40594.00 ,1886.00 ,5.00 ,432.00 ,2.40 ,10.41 ,23.06 ,26.00 ,2/12/2020
60206.00 ,1371.00 ,5930.00 ,52905.00 ,13645.00 ,253.00 ,1081.00 ,2.28 ,9.85 ,23.12 ,26.00 ,2/13/2020
66690.00 ,1523.00 ,7613.00 ,57554.00 ,6484.00 ,152.00 ,1683.00 ,2.28 ,11.42 ,20.01 ,27.00 ,2/14/2020
68765.00 ,1666.00 ,8902.00 ,58197.00 ,2075.00 ,143.00 ,1289.00 ,2.42 ,12.95 ,18.71 ,27.00 ,2/15/2020
70879.00 ,1770.00 ,10319.00 ,58790.00 ,2114.00 ,104.00 ,1417.00 ,2.50 ,14.56 ,17.15 ,27.00 ,2/16/2020
72815.00 ,1868.00 ,11951.00 ,58996.00 ,1936.00 ,98.00 ,1632.00 ,2.57 ,16.41 ,15.63 ,27.00 ,2/17/2020
74609.00 ,2008.00 ,13693.00 ,58908.00 ,1794.00 ,140.00 ,1742.00 ,2.69 ,18.35 ,14.66 ,27.00 ,2/18/2020
75030.00 ,2123.00 ,15394.00 ,57513.00 ,421.00 ,115.00 ,1701.00 ,2.83 ,20.52 ,13.79 ,28.00 ,2/19/2020
75577.00 ,2246.00 ,17369.00 ,55962.00 ,547.00 ,123.00 ,1975.00 ,2.97 ,22.98 ,12.93 ,28.00 ,2/20/2020
76206.00 ,2250.00 ,17966.00 ,55990.00 ,629.00 ,4.00 ,597.00 ,2.95 ,23.58 ,12.52 ,30.00 ,2/21/2020
77967.00 ,2457.00 ,21849.00 ,53661.00 ,1761.00 ,207.00 ,3883.00 ,3.15 ,28.02 ,11.25 ,30.00 ,2/22/2020
78290.00 ,2467.00 ,22304.00 ,53519.00 ,323.00 ,10.00 ,455.00 ,3.15 ,28.49 ,11.06 ,31.00 ,2/23/2020
78854.00 ,2627.00 ,24047.00 ,52180.00 ,564.00 ,160.00 ,1743.00 ,3.33 ,30.50 ,10.92 ,36.00 ,2/24/2020
79707.00 ,2707.00 ,26652.00 ,50348.00 ,853.00 ,80.00 ,2605.00 ,3.40 ,33.44 ,10.16 ,41.00 ,2/25/2020
